ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
01/04/2022,31/03/2023,8EJ83,IDQ01,NHS Number Status,1160,*,*,*,1160
01/04/2022,31/03/2023,8EJ83,IDQ02,Age At Start Of Reporting Period,1160,*,*,*,1160
01/04/2022,31/03/2023,8EJ83,IDQ03,Postcode District,1155,*,*,*,1160
01/04/2022,31/03/2023,8EJ83,IDQ04,Gender,1160,*,*,*,1160
01/04/2022,31/03/2023,8EJ83,IDQ05,Ethnic Category,775,*,*,380,1160
01/04/2022,31/03/2023,8EJ83,IDQ06,Ex-British Armed Forces Indicator,675,*,*,485,1160
01/04/2022,31/03/2023,8EJ83,IDQ08,Disability Code,765,*,*,*,765
01/04/2022,31/03/2023,8EJ83,IDQ09,Sexual Orientation Code,705,*,*,465,1170
01/04/2022,31/03/2023,8EJ83,IDQ10,Religion Code,675,*,*,495,1170
01/04/2022,31/03/2023,8EJ83,IDQ11,Referral Received Date,1155,*,*,*,1155
01/04/2022,31/03/2023,8EJ83,IDQ12,Referral Discharge Date,635,*,*,520,1155
01/04/2022,31/03/2023,8EJ83,IDQ13,Referral Discharge Reason,635,*,*,*,635
01/04/2022,31/03/2023,8EJ83,IDQ16,Organisation Identifier (Code of Commissioner),1155,*,*,*,1155
01/04/2022,31/03/2023,8EJ83,IDQ17,Consultation Medium Used,4485,*,*,*,4485
01/04/2022,31/03/2023,8EJ83,IDQ18,Care Contact Therapy Mode,4485,*,*,*,4485
01/04/2022,31/03/2023,8EJ83,IDQ19,Psychotropic Medication Usage Indicator Code,4470,15,*,*,4485
01/04/2022,31/03/2023,8EJ83,IDQ20,Internet Enabled Therapy Programme,*,*,*,4485,4485
01/04/2022,31/03/2023,8EJ83,IDQ21,Long Term Condition Flag,4485,*,*,*,4485
01/04/2022,31/03/2023,8EJ83,IDQ22,Care Activity Therapy Type,4760,*,*,*,4760
01/04/2022,31/03/2023,8EJ83,IDQ26,Adult Mental Health Care Cluster,*,*,*,1155,1155
01/04/2022,31/03/2023,8EJ83,IDQ31,Assessment of Initial Caseness,470,*,*,*,470
01/04/2022,31/03/2023,8EJ83,IDQ32,Paired Score Completeness,470,*,*,*,470
01/04/2022,31/03/2023,8EJ83,IDQ33,ADSM Completeness,*,*,*,*,470
01/04/2022,31/03/2023,8EJ83,IDQ38,Validity of Treatment Questionnaire Date,3030,*,45,*,3075
01/04/2022,31/03/2023,8EJ83,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),2980,*,20,*,3005
01/04/2022,31/03/2023,8EJ83,IDQ40,Validity of Treatment Questionnaire Question 1 Score,335,*,*,*,335
01/04/2022,31/03/2023,8EJ83,IDQ41,Validity of Treatment Questionnaire Question 2 Score,335,*,*,*,335
01/04/2022,31/03/2023,8EJ83,IDQ42,Validity of Treatment Questionnaire Question 3 Score,335,*,*,*,335
01/04/2022,31/03/2023,8EJ83,IDQ43,Validity of Treatment Questionnaire Question 4 Score,335,*,*,*,335
01/04/2022,31/03/2023,8EJ83,IDQ44,Validity of Treatment Questionnaire Question 5 Score,335,*,*,*,335
01/04/2022,31/03/2023,8EJ83,IDQ45,Validity of Treatment Questionnaire Question 6 Score,45,*,*,*,45
01/04/2022,31/03/2023,8EJ83,IDQ46,Validity of All PEQ Treatment Fields,335,*,*,*,335
01/04/2022,31/03/2023,8EJ83,IDQ47,Validity of Assessment Questionnaire Date,3050,*,60,*,3110
01/04/2022,31/03/2023,8EJ83,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),665,*,1965,*,2630
01/04/2022,31/03/2023,8EJ83,IDQ49,Validity of Assessment 1 Field,380,*,*,*,380
01/04/2022,31/03/2023,8EJ83,IDQ50,Validity of Assessment 2 Field,380,*,*,*,380
01/04/2022,31/03/2023,8EJ83,IDQ51,Validity of Assessment 3 Field,370,*,*,*,370
01/04/2022,31/03/2023,8EJ83,IDQ52,Validity of Assessment 4 Field,365,*,*,*,365
01/04/2022,31/03/2023,8EJ83,IDQ53,Validity of Satisfaction Question 1 Score,380,*,*,*,380
01/04/2022,31/03/2023,8J724,IDQ01,NHS Number Status,405,*,*,*,405
01/04/2022,31/03/2023,8J724,IDQ02,Age At Start Of Reporting Period,405,*,*,*,405
01/04/2022,31/03/2023,8J724,IDQ03,Postcode District,360,*,*,45,405
01/04/2022,31/03/2023,8J724,IDQ04,Gender,405,*,*,*,405
01/04/2022,31/03/2023,8J724,IDQ05,Ethnic Category,20,*,385,*,405
01/04/2022,31/03/2023,8J724,IDQ06,Ex-British Armed Forces Indicator,375,*,*,35,405
01/04/2022,31/03/2023,8J724,IDQ08,Disability Code,405,*,*,*,405
01/04/2022,31/03/2023,8J724,IDQ09,Sexual Orientation Code,115,*,*,295,410
01/04/2022,31/03/2023,8J724,IDQ10,Religion Code,345,*,*,85,430
01/04/2022,31/03/2023,8J724,IDQ11,Referral Received Date,395,*,*,*,395
01/04/2022,31/03/2023,8J724,IDQ12,Referral Discharge Date,20,*,*,375,395
01/04/2022,31/03/2023,8J724,IDQ13,Referral Discharge Reason,15,*,*,*,20
01/04/2022,31/03/2023,8J724,IDQ16,Organisation Identifier (Code of Commissioner),395,*,*,*,395
01/04/2022,31/03/2023,8J724,IDQ17,Consultation Medium Used,610,*,75,*,685
01/04/2022,31/03/2023,8J724,IDQ18,Care Contact Therapy Mode,685,*,*,*,685
01/04/2022,31/03/2023,8J724,IDQ19,Psychotropic Medication Usage Indicator Code,680,5,*,*,685
01/04/2022,31/03/2023,8J724,IDQ20,Internet Enabled Therapy Programme,*,*,*,685,685
01/04/2022,31/03/2023,8J724,IDQ21,Long Term Condition Flag,685,*,*,*,685
01/04/2022,31/03/2023,8J724,IDQ22,Care Activity Therapy Type,*,*,*,685,685
01/04/2022,31/03/2023,8J724,IDQ26,Adult Mental Health Care Cluster,260,*,*,135,395
01/04/2022,31/03/2023,8J724,IDQ31,Assessment of Initial Caseness,20,*,*,*,20
01/04/2022,31/03/2023,8J724,IDQ32,Paired Score Completeness,15,*,*,*,20
01/04/2022,31/03/2023,8J724,IDQ33,ADSM Completeness,*,*,*,*,20
01/04/2022,31/03/2023,8J724,IDQ38,Validity of Treatment Questionnaire Date,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ40,Validity of Treatment Questionnaire Question 1 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ41,Validity of Treatment Questionnaire Question 2 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ42,Validity of Treatment Questionnaire Question 3 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ43,Validity of Treatment Questionnaire Question 4 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ44,Validity of Treatment Questionnaire Question 5 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ45,Validity of Treatment Questionnaire Question 6 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ46,Validity of All PEQ Treatment Fields,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ47,Validity of Assessment Questionnaire Date,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ49,Validity of Assessment 1 Field,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ50,Validity of Assessment 2 Field,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ51,Validity of Assessment 3 Field,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ52,Validity of Assessment 4 Field,*,*,*,*,*
01/04/2022,31/03/2023,8J724,IDQ53,Validity of Satisfaction Question 1 Score,*,*,*,*,*
01/04/2022,31/03/2023,8J766,IDQ01,NHS Number Status,2935,*,*,*,2935
01/04/2022,31/03/2023,8J766,IDQ02,Age At Start Of Reporting Period,2935,*,*,*,2935
01/04/2022,31/03/2023,8J766,IDQ03,Postcode District,2935,*,*,*,2935
01/04/2022,31/03/2023,8J766,IDQ04,Gender,2325,610,*,*,2935
01/04/2022,31/03/2023,8J766,IDQ05,Ethnic Category,2320,615,*,*,2935
01/04/2022,31/03/2023,8J766,IDQ06,Ex-British Armed Forces Indicator,2320,*,*,615,2935
01/04/2022,31/03/2023,8J766,IDQ08,Disability Code,2355,*,*,*,2355
01/04/2022,31/03/2023,8J766,IDQ09,Sexual Orientation Code,2195,*,*,755,2950
01/04/2022,31/03/2023,8J766,IDQ10,Religion Code,2305,*,*,640,2950
01/04/2022,31/03/2023,8J766,IDQ11,Referral Received Date,2930,*,*,*,2930
01/04/2022,31/03/2023,8J766,IDQ12,Referral Discharge Date,2625,*,*,305,2930
01/04/2022,31/03/2023,8J766,IDQ13,Referral Discharge Reason,2610,*,15,*,2625
01/04/2022,31/03/2023,8J766,IDQ16,Organisation Identifier (Code of Commissioner),2930,*,*,*,2930
01/04/2022,31/03/2023,8J766,IDQ17,Consultation Medium Used,9015,*,295,*,9310
01/04/2022,31/03/2023,8J766,IDQ18,Care Contact Therapy Mode,9310,*,*,*,9310
01/04/2022,31/03/2023,8J766,IDQ19,Psychotropic Medication Usage Indicator Code,7660,405,*,1245,9310
01/04/2022,31/03/2023,8J766,IDQ20,Internet Enabled Therapy Programme,*,*,*,9310,9310
01/04/2022,31/03/2023,8J766,IDQ21,Long Term Condition Flag,9310,*,*,*,9310
01/04/2022,31/03/2023,8J766,IDQ22,Care Activity Therapy Type,7730,*,630,47510,55875
01/04/2022,31/03/2023,8J766,IDQ26,Adult Mental Health Care Cluster,185,*,*,2745,2930
01/04/2022,31/03/2023,8J766,IDQ31,Assessment of Initial Caseness,995,*,*,*,995
01/04/2022,31/03/2023,8J766,IDQ32,Paired Score Completeness,995,*,*,*,995
01/04/2022,31/03/2023,8J766,IDQ33,ADSM Completeness,125,*,*,*,995
01/04/2022,31/03/2023,8J766,IDQ38,Validity of Treatment Questionnaire Date,18345,*,2260,*,20605
01/04/2022,31/03/2023,8J766,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),19885,*,180,*,20065
01/04/2022,31/03/2023,8J766,IDQ40,Validity of Treatment Questionnaire Question 1 Score,535,*,*,*,535
01/04/2022,31/03/2023,8J766,IDQ41,Validity of Treatment Questionnaire Question 2 Score,535,*,*,*,535
01/04/2022,31/03/2023,8J766,IDQ42,Validity of Treatment Questionnaire Question 3 Score,535,*,*,*,535
01/04/2022,31/03/2023,8J766,IDQ43,Validity of Treatment Questionnaire Question 4 Score,535,*,*,*,535
01/04/2022,31/03/2023,8J766,IDQ44,Validity of Treatment Questionnaire Question 5 Score,535,*,*,*,535
01/04/2022,31/03/2023,8J766,IDQ45,Validity of Treatment Questionnaire Question 6 Score,325,*,160,*,485
01/04/2022,31/03/2023,8J766,IDQ46,Validity of All PEQ Treatment Fields,2105,*,160,*,2265
01/04/2022,31/03/2023,8J766,IDQ47,Validity of Assessment Questionnaire Date,4995,*,130,*,5125
01/04/2022,31/03/2023,8J766,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),3575,*,1085,*,4660
01/04/2022,31/03/2023,8J766,IDQ49,Validity of Assessment 1 Field,170,*,*,*,170
01/04/2022,31/03/2023,8J766,IDQ50,Validity of Assessment 2 Field,165,*,*,*,165
01/04/2022,31/03/2023,8J766,IDQ51,Validity of Assessment 3 Field,170,*,*,*,170
01/04/2022,31/03/2023,8J766,IDQ52,Validity of Assessment 4 Field,165,*,*,*,165
01/04/2022,31/03/2023,8J766,IDQ53,Validity of Satisfaction Question 1 Score,165,*,*,*,165
01/04/2022,31/03/2023,8JJ53,IDQ01,NHS Number Status,2515,*,*,*,2515
01/04/2022,31/03/2023,8JJ53,IDQ02,Age At Start Of Reporting Period,2515,*,*,*,2515
01/04/2022,31/03/2023,8JJ53,IDQ03,Postcode District,2505,*,*,10,2515
01/04/2022,31/03/2023,8JJ53,IDQ04,Gender,2110,*,*,405,2515
01/04/2022,31/03/2023,8JJ53,IDQ05,Ethnic Category,*,1615,*,900,2515
01/04/2022,31/03/2023,8JJ53,IDQ06,Ex-British Armed Forces Indicator,1125,*,*,1390,2515
01/04/2022,31/03/2023,8JJ53,IDQ08,Disability Code,660,*,*,*,660
01/04/2022,31/03/2023,8JJ53,IDQ09,Sexual Orientation Code,*,*,*,2515,2515
01/04/2022,31/03/2023,8JJ53,IDQ10,Religion Code,*,*,*,2515,2515
01/04/2022,31/03/2023,8JJ53,IDQ11,Referral Received Date,2390,*,*,*,2390
01/04/2022,31/03/2023,8JJ53,IDQ12,Referral Discharge Date,1785,*,*,605,2390
01/04/2022,31/03/2023,8JJ53,IDQ13,Referral Discharge Reason,1780,*,*,*,1785
01/04/2022,31/03/2023,8JJ53,IDQ16,Organisation Identifier (Code of Commissioner),2390,*,*,*,2390
01/04/2022,31/03/2023,8JJ53,IDQ17,Consultation Medium Used,1905,*,5,*,1915
01/04/2022,31/03/2023,8JJ53,IDQ18,Care Contact Therapy Mode,1915,*,*,*,1915
01/04/2022,31/03/2023,8JJ53,IDQ19,Psychotropic Medication Usage Indicator Code,515,130,*,1265,1915
01/04/2022,31/03/2023,8JJ53,IDQ20,Internet Enabled Therapy Programme,*,*,*,1915,1915
01/04/2022,31/03/2023,8JJ53,IDQ21,Long Term Condition Flag,1915,*,*,*,1915
01/04/2022,31/03/2023,8JJ53,IDQ22,Care Activity Therapy Type,*,*,*,4260,4260
01/04/2022,31/03/2023,8JJ53,IDQ26,Adult Mental Health Care Cluster,*,*,*,2390,2390
01/04/2022,31/03/2023,8JJ53,IDQ31,Assessment of Initial Caseness,105,*,*,*,105
