OrgType,OrgCode,OrgName,Measure,InitialCaseness,VariableType,VariableA,VariableB,Count_FinishedCourseTreatmentByInitialCasenessStatus,Count_FinishedCourseTreatmentPairedWSAS,Mean_Start,SD_Start,Mean_End,SD_End,EffectSize
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Total,All,NULL,610,NULL,15.2,5.2,9.6,6.3,1
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Depression,NULL,200,NULL,16.2,4.6,10,6.3,1.3
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,235,NULL,14.2,5.7,9.3,6.3,0.8
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,135,NULL,13.6,5.3,8.7,5.6,0.9
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,5,NULL,11.8,8.4,4.5,4.4,1.2
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,5,NULL,16.8,4,11,7.2,1.1
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,15,NULL,15.8,5.3,13.8,5.9,0.3
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,10,NULL,11.6,7.3,6,4.1,1.1
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,40,NULL,17.6,5.5,11.1,7.8,1.2
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,15,NULL,12.1,5.2,8.8,6.4,0.6
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,5,NULL,10.2,4,7.6,6.7,0.4
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Other recorded problems,NULL,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,AtCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,175,NULL,15.3,4.9,9.6,6.4,1.1
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Total,All,NULL,65,NULL,5,2.6,3.4,3.4,0.6
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Depression,NULL,5,NULL,5.8,3.8,2.7,2.3,1.4
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,10,NULL,5,2.5,4.8,3.8,0.1
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,5,NULL,6.4,1.8,5.3,4.4,0.5
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Other Mental Health problems,Other,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Other recorded problems,NULL,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,PHQ9,NotCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,50,NULL,5,2.4,3.2,3.4,0.7
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Total,All,NULL,610,NULL,13.7,4.6,8.8,5.7,1.1
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Depression,NULL,200,NULL,13.6,4.7,8.7,5.6,1
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,235,NULL,14.4,4.4,8.9,5.6,1.3
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,135,NULL,14.4,3.9,8.6,5.4,1.5
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,5,NULL,12.2,8.8,6.3,6.3,1.3
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,5,NULL,14.7,4.9,9.8,6.4,1.2
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,15,NULL,17.1,3.2,14.3,4.4,0.6
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,10,NULL,14.3,4.5,5.1,3.5,2.1
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,40,NULL,14.7,4.4,9.4,5.6,1.2
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,15,NULL,12.2,6.1,7.4,4.9,1
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,5,NULL,11.6,3.6,7,5.9,1.1
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Other recorded problems,NULL,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,AtCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,175,NULL,12.8,4.4,8.6,5.8,0.9
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Total,All,NULL,65,NULL,4.2,2.3,2.7,3,0.6
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Depression,NULL,5,NULL,4.5,2.7,2.3,1,1.1
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,10,NULL,4.5,1.9,3.2,2.6,0.5
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,5,NULL,5.3,1.4,4.1,2.6,0.7
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,*,NULL,*,*,*,*,*
Commissioning Region,UNKNOWN,UNKNOWN,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,*,NULL,*,*,*,*,*
