OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountDidStaffListen,PercentageDidStaffListen,CountHelpedUnderstandDifficulties,PercentageHelpedUnderstandDifficulties,CountFeelInvolved,PercentageFeelInvolved,CountHelpThatMattered,PercentageHelpThatMattered,CountConfidenceInYourTherapist,PercentageConfidenceInYourTherapist,CountDidYouReceiveTheEmploymentHelpYouRequired,PercentageDidYouReceiveTheEmploymentHelpYouRequired,CountGivenInformationAboutOptions,PercentageGivenInformationAboutOptions,CountPreferTreatments,PercentagePreferTreatments,CountOfferedYourPreference,PercentageOfferedYourPreference,CountDidAssessmentCoverYourEmploymentNeeds,PercentageDidAssessmentCoverYourEmploymentNeeds,CountAssessmentSatisfaction,PercentageAssessmentSatisfaction
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Total responses,Null,45,-,45,-,45,-,45,-,45,-,45,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,At all times,Null,35,86,25,56,30,65,25,56,30,74,10,21,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Most of the time,Null,5,12,10,21,10,28,10,28,10,23,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Sometimes,Null,*,*,10,19,*,*,5,12,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Rarely,Null,*,*,*,*,*,*,*,*,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Never,Null,*,*,*,*,*,*,*,*,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,5,14,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,*,*,*,*,*,*,*,*,*,*,25,53,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,50,-,50,-,50,-,50,-,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,45,92,35,68,30,64,30,58,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*,15,32,*,*,*,*,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Not applicable,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,-,-,-,-,15,34,20,40,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*,*,*,*,*,*,*,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,50,-
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Completely satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,40,84
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Mostly satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5,12
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Neither satisfied nor dissatisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Not satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Not at all satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,Total responses,Null,9025,-,9025,-,9025,-,9025,-,9025,-,9025,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,At all times,Null,8280,92,5520,61,6820,76,5815,64,7620,84,2200,24,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,Most of the time,Null,575,6,2485,28,1585,18,2260,25,1070,12,820,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
